directon,region,floor,house_price,zone,house_name,meters,xiaoqu,area
南        ,沙河,中楼层（18层）,4000,2室1厅1卫,整租·北街家园六区2室1厅南,70㎡,北街家园六区,昌平
南 北        ,北七家,高楼层（5层）,3600,1室1厅1卫,整租·名佳花园三区1室1厅南/北,65㎡,名佳花园三区,昌平
南 北        ,定福庄,高楼层（6层）,5200,1室1厅1卫,整租·美然动力A3区1室1厅南/北,54㎡,美然动力A3区,朝阳
南        ,奥林匹克公园,中楼层（7层）,5900,1室1厅1卫,整租·林萃路10号院1室1厅南,43㎡,林萃路10号院,朝阳
西        ,右安门外,中楼层（6层）,4700,1室1厅1卫,整租·玉林东里一区1室1厅西,44㎡,玉林东里一区,丰台
西        ,刘家窑,高楼层（6层）,4500,1室1厅1卫,整租·石榴园南里小区1室1厅西,47㎡,石榴园南里小区,丰台
东        ,亚运村,高楼层（6层）,6000,1室0厅1卫,整租·华馨公寓1室0厅东,40㎡,华馨公寓,朝阳
南 北        ,旧宫,低楼层（6层）,3400,2室1厅1卫,整租·桃源里2室1厅南/北,63㎡,桃源里,丰台
西        ,双桥,中楼层（14层）,5290,1室1厅1卫,整租·中建玲珑山1室1厅西,48㎡,中建玲珑山,朝阳
西        ,木樨园,低楼层（24层）,4000,1室1厅1卫,整租·远中悦麒1室1厅西,47㎡,远中悦麒,丰台
南        ,惠新西街,中楼层（6层）,5300,1室1厅1卫,整租·胜古南里1室1厅南,35㎡,胜古南里,朝阳
南 北        ,甘露园,中楼层（7层）,5500,2室1厅1卫,整租·康家园2室1厅南/北,69㎡,康家园,朝阳
南 北        ,潞苑,高楼层（7层）,3500,2室1厅2卫,整租·新潮嘉园二期2室1厅南/北,104㎡,新潮嘉园二期,通州
南        ,武夷花园,中楼层（11层）,3300,1室0厅1卫,整租·月亮城堡1室0厅南,59㎡,月亮城堡,通州
西        ,广安门,低楼层（26层）,3960,1室1厅1卫,整租·荣丰20081室1厅西,20㎡,荣丰2008,西城
西        ,沙河,高楼层（18层）,2600,1室0厅1卫,整租·北街家园八区1室0厅西,36㎡,北街家园八区,昌平
西        ,马家堡,高楼层（13层）,4130,1室1厅1卫,整租·7克拉1室1厅西,23㎡,7克拉,丰台
南 北        ,旧宫,高楼层（6层）,3500,2室1厅1卫,整租·万源南里2室1厅南/北,57㎡,万源南里,丰台
东        ,定慧寺,高楼层（6层）,5430,1室1厅1卫,整租·定慧西里1室1厅东,39㎡,定慧西里,海淀
南 北        ,旧宫,中楼层（6层）,3900,2室1厅1卫,整租·六营门小区2室1厅南/北,59㎡,六营门小区,丰台
南        ,广安门,低楼层（20层）,5130,1室1厅1卫,整租·远见名苑1室1厅南,40㎡,远见名苑,西城
西        ,右安门外,中楼层（18层）,4500,2室0厅1卫,整租·百合园2室0厅西,53㎡,百合园,丰台
南        ,安定门,高楼层（6层）,5530,1室1厅1卫,整租·安德路47号院1室1厅南,34㎡,安德路47号院,东城
西        ,马家堡,低楼层（13层）,3500,1房间1卫,整租·7克拉1房间西,23㎡,7克拉,丰台
西        ,高碑店,高楼层（7层）,5730,2室1厅1卫,整租·南太平庄北巷2室1厅西,60㎡,南太平庄北巷,朝阳
南        ,安贞,高楼层（16层）,5600,1室1厅1卫,整租·安华西里社区1室1厅南,43㎡,安华西里社区,朝阳
南        ,古城,高楼层（4层）,2400,1室0厅1卫,整租·古城路小区1室0厅南,20㎡,古城路小区,石景山
东 西        ,黄村中,高楼层（6层）,2500,2室1厅1卫,整租·三合南里2室1厅东/西,74㎡,三合南里,大兴
东 北        ,东坝,低楼层（12层）,5300,1室1厅1卫,整租·上东上层1室1厅东/北,66㎡,上东上层,朝阳
北        ,常营,低楼层（28层）,4500,1室1厅1卫,整租·北京新天地五期1室1厅北,61㎡,北京新天地五期,朝阳
北        ,常营,中楼层（23层）,4890,1室1厅1卫,整租·北京像素南区1室1厅北,50㎡,北京像素南区,朝阳
南 北        ,西三旗,低楼层（15层）,6000,2室1厅1卫,整租·知本时代2室1厅南/北,67㎡,知本时代,海淀
东        ,沙河,中楼层（18层）,2990,1室1厅1卫,整租·北街家园八区1室1厅东,31㎡,北街家园八区,昌平
北        ,广安门,中楼层（26层）,4200,1室0厅1卫,整租·荣丰20081室0厅北,38㎡,荣丰2008,西城
南        ,黄村中,低楼层（5层）,3330,1室1厅1卫,整租·黄村西里1室1厅南,34㎡,黄村西里,大兴
北        ,大兴开发区,高楼层（7层）,2000,1室1厅1卫,整租·泰中花园1室1厅北,13㎡,泰中花园,大兴
南        ,管庄,高楼层（6层）,5930,2室1厅1卫,整租·建东苑2室1厅南,72㎡,建东苑,朝阳
西        ,亚运村,中楼层（6层）,5500,1室0厅0卫,整租·华馨公寓1室0厅西,40㎡,华馨公寓,朝阳
南        ,豆各庄,中楼层（27层）,5530,2室1厅1卫,整租·富力又一城C区2室1厅南,89㎡,富力又一城C区,朝阳
南        ,旧宫,中楼层（6层）,4200,2室1厅1卫,整租·万源东里2室1厅南,68㎡,万源东里,丰台
南        ,十里河,中楼层（28层）,4600,1室1厅1卫,整租·周庄嘉园4号院1室1厅南,55㎡,周庄嘉园4号院,朝阳
南 北        ,劲松,高楼层（6层）,5800,2室1厅1卫,整租·劲松四区2室1厅南/北,59㎡,劲松四区,朝阳
北        ,西三旗,低楼层（18层）,4990,1室1厅1卫,整租·SOCO公社1室1厅北,43㎡,SOCO公社,海淀
西        ,立水桥,低楼层（14层）,3800,1房间1卫,整租·明天生活馆1房间西,40㎡,明天生活馆,朝阳
南        ,四惠,中楼层（26层）,5600,1室1厅1卫,整租·京棉新城三厂1室1厅南,71㎡,京棉新城三厂,朝阳
南 北        ,木樨地,中楼层（6层）,5800,1室1厅1卫,整租·木樨地1室1厅南/北,45㎡,木樨地,西城
北        ,北关,中楼层（7层）,3200,1室0厅1卫,整租·朝北80801室0厅北,37㎡,朝北8080,通州
南        ,石佛营,高楼层（6层）,5860,1室1厅1卫,整租·十里堡南区1室1厅南,47㎡,十里堡南区,朝阳
南 北        ,大兴其它,高楼层（9层）,2600,2室1厅1卫,整租·新兴家园2室1厅南/北,90㎡,新兴家园,大兴
西        ,双桥,低楼层（6层）,4360,1室1厅1卫,整租·双惠小区1室1厅西,32㎡,双惠小区,朝阳
南        ,双桥,高楼层（22层）,4100,1室0厅1卫,整租·北花园小区1室0厅南,51㎡,北花园小区,朝阳
东        ,鼓楼大街,中楼层（5层）,3290,1室1厅1卫,整租·北环里小区1室1厅东,41㎡,北环里小区,昌平
北        ,奥林匹克公园,中楼层（32层）,5990,1室1厅1卫,整租·天畅园1室1厅北,50㎡,天畅园,朝阳
西        ,旧宫,高楼层（12层）,3300,1室0厅1卫,整租·亦庄北岸1室0厅西,39㎡,亦庄北岸,大兴
南 北        ,刘家窑,低楼层（6层）,4700,2室1厅1卫,整租·石榴园北里小区2室1厅南/北,60㎡,石榴园北里小区,丰台
北        ,芍药居,中楼层（24层）,5300,1室1厅1卫,整租·芍药居北里1室1厅北,59㎡,芍药居北里,朝阳
北        ,芍药居,低楼层（24层）,6000,2室1厅1卫,整租·芍药居北里2室1厅北,64㎡,芍药居北里,朝阳
西        ,北苑,低楼层（18层）,5460,1室1厅1卫,整租·乐想汇1室1厅西,53㎡,乐想汇,朝阳
东南        ,石佛营,中楼层（18层）,4300,1室1厅1卫,整租·石佛营东里小区1室1厅东南,50㎡,石佛营东里小区,朝阳
东南        ,首都机场,中楼层（11层）,3400,2室2厅1卫,整租·东平里2室2厅东南,58㎡,东平里,朝阳
南        ,劲松,高楼层（18层）,4700,1室1厅1卫,整租·农光里1室1厅南,47㎡,农光里,朝阳
西        ,马家堡,中楼层（11层）,4100,2房间1卫,整租·7克拉2房间复式西,27㎡,7克拉,丰台
东        ,常营,低楼层（27层）,5500,1室1厅1卫,整租·北京新天地五期1室1厅东,62㎡,北京新天地五期,朝阳
南        ,海淀其它,高楼层（15层）,3690,2室1厅1卫,整租·安河家园2室1厅南,90㎡,安河家园,海淀
东        ,三元桥,低楼层（6层）,4500,1室1厅1卫,整租·曙光西里1室1厅东,37㎡,曙光西里,朝阳
西        ,清河,高楼层（6层）,4390,2室1厅1卫,整租·水木天成2室1厅西,61㎡,水木天成,海淀
南        ,科技园区,低楼层（18层）,3500,1室1厅1卫,整租·城市经典1室1厅南,28㎡,城市经典,丰台
南        ,马驹桥,低楼层（12层）,2800,1室0厅1卫,整租·莲水怡园1室0厅南,61㎡,莲水怡园,亦庄开发区
西南        ,红庙,中楼层（6层）,5800,2室1厅1卫,整租·延静里中街2室1厅西南,55㎡,延静里中街,朝阳
南        ,酒仙桥,高楼层（6层）,5000,1室1厅1卫,整租·酒仙桥一街坊1室1厅南,43㎡,酒仙桥一街坊,朝阳
南 北        ,北大地,高楼层（6层）,3700,1室1厅1卫,整租·东幸福街1室1厅南/北,47㎡,东幸福街,丰台
南 北        ,枣园,低楼层（6层）,3300,2室1厅1卫,整租·清源西里2室1厅南/北,55㎡,清源西里,大兴
西        ,顺义其它,低楼层（9层）,3290,1室1厅1卫,整租·东亚首航国际1室1厅西,38㎡,东亚首航国际,顺义
南        ,田村,高楼层（10层）,4800,1室1厅1卫,整租·碧森里1室1厅南,42㎡,碧森里,海淀
南        ,西坝河,中楼层（16层）,6000,1室1厅1卫,整租·西坝河北里1室1厅南,47㎡,西坝河北里,朝阳
南        ,八角,中楼层（4层）,2600,1室1厅1卫,整租·八角路小区1室1厅南,27㎡,八角路小区,石景山
北        ,西罗园,低楼层（14层）,4700,2房间1卫,整租·风格景园2房间北,55㎡,风格景园,丰台
南 北        ,定福庄,低楼层（6层）,5300,2室1厅1卫,整租·福怡苑2室1厅南/北,95㎡,福怡苑,朝阳
南        ,定福庄,高楼层（7层）,5200,2室1厅1卫,整租·福怡苑2室1厅南,68㎡,福怡苑,朝阳
南        ,果园,高楼层（6层）,3500,2室1厅1卫,整租·挂车厂宿舍2室1厅南,54㎡,挂车厂宿舍,通州
南 北        ,阜成门,地下室（6层）,5900,2室1厅1卫,整租·北露园2室1厅南/北,59㎡,北露园,西城
南        ,顺义其它,高楼层（9层）,3300,1室1厅1卫,整租·旭辉26街区1室1厅南,27㎡,旭辉26街区,顺义
南        ,广安门,低楼层（26层）,3990,1室1厅1卫,整租·荣丰20081室1厅南,22㎡,荣丰2008,西城
南 北        ,马坡,低楼层（27层）,3300,2室1厅1卫,整租·新马家园2室1厅南/北,81㎡,新马家园,顺义
西        ,广安门,低楼层（26层）,4260,1室1厅1卫,整租·荣丰20081室1厅西,26㎡,荣丰2008,西城
南        ,枣园,中楼层（6层）,3300,2室1厅1卫,整租·滨河东里2室1厅南,60㎡,滨河东里,大兴
东        ,古城,高楼层（4层）,3930,1室1厅1卫,整租·古城路小区1室1厅东,27㎡,古城路小区,石景山
南 北        ,潞苑,高楼层（6层）,2900,2室1厅1卫,整租·上潞园2室1厅南/北,74㎡,上潞园,通州
南        ,小西天,高楼层（5层）,6000,1室1厅1卫,整租·志强北园1室1厅南,37㎡,志强北园,海淀
南 北        ,五里店,低楼层（6层）,4500,2室1厅1卫,整租·程庄路6号院2室1厅南/北,58㎡,程庄路6号院,丰台
南        ,红庙,低楼层（6层）,4800,1室1厅1卫,整租·慈云寺1室1厅南,41㎡,慈云寺,朝阳
南        ,潘家园,低楼层（28层）,5500,1室1厅1卫,整租·弘善家园1室1厅南,60㎡,弘善家园,朝阳
东        ,华威桥,高楼层（6层）,5490,1室1厅1卫,整租·双龙南里1室1厅东,48㎡,双龙南里,朝阳
南        ,黄村中,高楼层（10层）,3000,1室1厅1卫,整租·双河北里1室1厅南,57㎡,双河北里,大兴
东 西        ,和义,高楼层（6层）,4000,2室1厅1卫,整租·南苑北里一区2室1厅东/西,76㎡,南苑北里一区,丰台
南 北        ,鼓楼大街,中楼层（5层）,3100,2室2厅1卫,整租·北环里小区2室2厅南/北,59㎡,北环里小区,昌平
南        ,北苑,高楼层（27层）,5000,2室1厅1卫,整租·华贸城2室1厅南,86㎡,华贸城,朝阳
南        ,定福庄,中楼层（9层）,4500,1室0厅1卫,整租·美然动力A3区1室0厅南,52㎡,美然动力A3区,朝阳
南 北        ,旧宫,高楼层（7层）,3300,2室1厅1卫,整租·梅源里小区2室1厅南/北,62㎡,梅源里小区,丰台
南        ,常营,低楼层（23层）,4790,1室1厅1卫,整租·北京像素南区1室1厅南,43㎡,北京像素南区,朝阳
南        ,和平里,中楼层（20层）,5000,1室1厅1卫,整租·和平街西苑1室1厅南,44㎡,和平街西苑,朝阳
南 北        ,甜水园,中楼层（6层）,6000,2室1厅1卫,整租·甜水园北里2室1厅南/北,63㎡,甜水园北里,朝阳
南 北        ,顺义城,低楼层（6层）,3200,1室1厅1卫,整租·建新南区1室1厅南/北,56㎡,建新南区,顺义
东        ,西北旺,低楼层（10层）,4200,1室0厅1卫,整租·芳怡园1室0厅东,40㎡,芳怡园,海淀
东        ,马坡,中楼层（10层）,3230,1室1厅1卫,整租·首开中晟广场1室1厅东,45㎡,首开中晟广场,顺义
南 北        ,西三旗,高楼层（6层）,4300,1室1厅1卫,整租·轮胎厂宿舍1室1厅南/北,58㎡,轮胎厂宿舍,海淀
北        ,常营,高楼层（28层）,5660,1室1厅1卫,整租·北京新天地二期1室1厅北,62㎡,北京新天地二期,朝阳
南        ,石门营,高楼层（14层）,2400,1室1厅1卫,整租·石门营新区四区1室1厅南,47㎡,石门营新区四区,门头沟
北        ,大望路,低楼层（21层）,6030,1室1厅1卫,整租·CBD传奇1室1厅北,37㎡,CBD传奇,朝阳
北        ,百子湾,低楼层（14层）,5730,1室1厅1卫,整租·沿海赛洛城三期1室1厅北,49㎡,沿海赛洛城三期,朝阳
南        ,公主坟,低楼层（5层）,6000,2室1厅1卫,整租·翠微路2号院2室1厅南,54㎡,翠微路2号院,海淀
东        ,清河,中楼层（6层）,5730,1室1厅1卫,整租·观澳园1室1厅东,41㎡,观澳园,海淀
北        ,交道口,低楼层（1层）,4500,1室1厅0卫,整租·桃条胡同1室1厅北,16㎡,桃条胡同,东城
南        ,首都机场,高楼层（6层）,3830,2室1厅1卫,整租·东平里2室1厅南,57㎡,东平里,朝阳
南 北        ,首都机场,中楼层（6层）,3200,2室1厅1卫,整租·南竺园2室1厅南/北,59㎡,南竺园,顺义
东        ,二里庄,中楼层（18层）,5800,1室1厅1卫,整租·二里庄小区1室1厅东,47㎡,二里庄小区,海淀
东 西        ,八角,低楼层（5层）,2600,2室0厅0卫,整租·八角南路2室0厅东/西,38㎡,八角南路,石景山
南        ,定福庄,中楼层（6层）,4500,2室1厅1卫,整租·绿岛苑东区2室1厅南,62㎡,绿岛苑东区,朝阳
西        ,潞苑,高楼层（10层）,3530,1室1厅1卫,整租·珠江拉维小镇1室1厅西,49㎡,珠江拉维小镇,通州
南        ,苹果园,高楼层（6层）,4290,1室1厅1卫,整租·模式口西里1室1厅南,44㎡,模式口西里,石景山
北        ,临河里,高楼层（12层）,3200,1室0厅1卫,整租·久居雅园1室0厅北,50㎡,久居雅园,通州
北        ,西三旗,高楼层（18层）,5190,1室1厅1卫,整租·SOCO公社1室1厅北,44㎡,SOCO公社,海淀
北        ,田村,高楼层（13层）,5000,1室0厅1卫,整租·兰德华庭1室0厅北,32㎡,兰德华庭,海淀
东南        ,亚运村,高楼层（6层）,5790,1室1厅1卫,整租·慧忠里1室1厅东南,34㎡,慧忠里,朝阳
东        ,田村,中楼层（6层）,5590,1室1厅1卫,整租·西山国际城1室1厅东,33㎡,西山国际城,海淀
北        ,顺义其它,低楼层（9层）,3130,1室1厅1卫,整租·东亚首航国际1室1厅北,38㎡,东亚首航国际,顺义
南        ,临河里,低楼层（6层）,3000,1室1厅1卫,整租·小街之春1室1厅南,55㎡,小街之春,通州
南        ,清河,中楼层（6层）,4190,1室1厅1卫,整租·水木天成1室1厅南,47㎡,水木天成,海淀
南 北        ,惠新西街,高楼层（6层）,6000,3室1厅1卫,整租·胜古北里3室1厅南/北,57㎡,胜古北里,朝阳
南        ,常营,高楼层（23层）,5260,1室1厅1卫,整租·北京像素南区1室1厅南,50㎡,北京像素南区,朝阳
南 北        ,马坡,中楼层（15层）,2800,2室1厅1卫,整租·金宝城北区2室1厅南/北,91㎡,金宝城北区,顺义
北        ,万达,中楼层（6层）,3400,1室1厅2卫,整租·中山大街108号院1室1厅北,37㎡,中山大街108号院,通州
南 北        ,石景山其它,低楼层（6层）,3300,2室1厅1卫,整租·高井2室1厅南/北,59㎡,高井,石景山
南        ,岳各庄,中楼层（6层）,4500,2室1厅1卫,整租·大井东里2室1厅南,55㎡,大井东里,丰台
南        ,万寿路,高楼层（5层）,5830,1室1厅1卫,整租·复兴路61号院1室1厅南,40㎡,复兴路61号院,海淀
南        ,田村,中楼层（6层）,4000,2房间1卫,整租·西山国际城2房间跃层南,31㎡,西山国际城,海淀
南 北        ,大兴其它,低楼层（15层）,2800,2室1厅1卫,整租·蓝桥驿苑2室1厅南/北,80㎡,蓝桥驿苑,大兴
南        ,双桥,高楼层（4层）,4690,2室1厅1卫,整租·双桥六号井2室1厅南,56㎡,双桥六号井,朝阳
南        ,定福庄,高楼层（6层）,5890,2室1厅1卫,整租·金星小区2室1厅南,57㎡,金星小区,朝阳
西        ,马连道,中楼层（6层）,5830,1室1厅1卫,整租·红莲南里1室1厅西,55㎡,红莲南里,西城
北        ,海淀北部新区,低楼层（10层）,4260,1室1厅1卫,整租·正源尚峰尚水1室1厅北,37㎡,正源尚峰尚水,海淀
西        ,广安门,高楼层（26层）,4190,1室1厅1卫,整租·荣丰20081室1厅西,25㎡,荣丰2008,西城
东 西        ,西北旺,中楼层（10层）,4000,1室1厅1卫,整租·芳怡园1室1厅东/西,55㎡,芳怡园,海淀
北        ,临河里,低楼层（26层）,3190,1室1厅1卫,整租·高楼金地1室1厅北,32㎡,高楼金地,通州
南 北        ,西红门,高楼层（6层）,3500,2室1厅1卫,整租·西宏苑2室1厅南/北,70㎡,西宏苑,丰台
南        ,华威桥,低楼层（18层）,5130,1室1厅1卫,整租·双龙南里1室1厅南,40㎡,双龙南里,朝阳
南        ,崇文门,高楼层（6层）,5590,1室1厅1卫,整租·法华南里1室1厅南,43㎡,法华南里,东城
南        ,常营,高楼层（23层）,4790,1室1厅1卫,整租·北京像素南区1室1厅南,47㎡,北京像素南区,朝阳
东北        ,常营,低楼层（23层）,4890,1室1厅1卫,整租·北京像素南区1室1厅东北,46㎡,北京像素南区,朝阳
东        ,后沙峪,低楼层（13层）,3290,1室1厅1卫,整租·东亚创展国际1室1厅东,40㎡,东亚创展国际,顺义
南        ,亦庄,中楼层（16层）,4090,1室1厅1卫,整租·国融国际1室1厅南,33㎡,国融国际,亦庄开发区
南 北        ,科技园区,高楼层（15层）,4000,1室1厅1卫,整租·欣葆家园二区1室1厅南/北,50㎡,欣葆家园二区,丰台
南        ,惠新西街,中楼层（5层）,6030,1室1厅1卫,整租·惠新里小区1室1厅南,30㎡,惠新里小区,朝阳
南        ,玉泉路,低楼层（5层）,5000,2室1厅1卫,整租·玉泉路16号院2室1厅南,48㎡,玉泉路16号院,海淀
南        ,顺义城,中楼层（6层）,3230,1室1厅1卫,整租·石园南区1室1厅南,84㎡,石园南区,顺义
南 北        ,鲁谷,低楼层（6层）,4000,2室1厅1卫,整租·永乐西区2室1厅南/北,58㎡,永乐西区,石景山
南        ,北工大,高楼层（6层）,6000,1室1厅1卫,整租·松榆东里1室1厅南,47㎡,松榆东里,朝阳
西        ,芍药居,中楼层（6层）,5990,1室1厅1卫,整租·芍药居甲2号院1室1厅西,45㎡,芍药居甲2号院,朝阳
北        ,常营,中楼层（21层）,5260,1室1厅1卫,整租·柏林爱乐二期1室1厅北,49㎡,柏林爱乐二期,朝阳
南        ,双桥,高楼层（6层）,4690,2室1厅1卫,整租·双桥六号井2室1厅南,57㎡,双桥六号井,朝阳
东        ,鼓楼大街,中楼层（10层）,3090,1室1厅1卫,整租·南环里1室1厅东,34㎡,南环里,昌平
南        ,菜户营,中楼层（24层）,5260,1室1厅1卫,整租·乐城1室1厅南,41㎡,乐城,西城
南        ,潘家园,中楼层（6层）,5460,1室1厅1卫,整租·华威西里1室1厅南,47㎡,华威西里,朝阳
南 北        ,安贞,高楼层（6层）,6000,1室1厅1卫,整租·安贞西里1室1厅南/北,42㎡,安贞西里,朝阳
南        ,石佛营,中楼层（12层）,5730,1室1厅1卫,整租·八里庄北里小区1室1厅南,50㎡,八里庄北里小区,朝阳
东        ,永定门,高楼层（11层）,5200,1室1厅1卫,整租·新奥洋房1室1厅东,41㎡,新奥洋房,东城
西        ,安定门,高楼层（17层）,5990,2室1厅1卫,整租·安德里北街25号院2室1厅西,56㎡,安德里北街25号院,东城
南        ,豆各庄,中楼层（16层）,3700,1室1厅1卫,整租·朝丰家园1室1厅南,50㎡,朝丰家园,朝阳
南        ,广安门,低楼层（18层）,5000,1室1厅1卫,整租·车站西街17号院1室1厅南,51㎡,车站西街17号院,西城
南        ,鲁谷,低楼层（6层）,3900,1室1厅1卫,整租·永乐东区1室1厅南,33㎡,永乐东区,石景山
南 北        ,西罗园,中楼层（6层）,4200,1室1厅1卫,整租·西罗园四区1室1厅南/北,47㎡,西罗园四区,丰台
北        ,亦庄,中楼层（27层）,3700,1房间1卫,整租·荣京丽都1房间北,42㎡,荣京丽都,亦庄开发区
南        ,大兴其它,高楼层（18层）,3300,2室1厅1卫,整租·盛嘉华苑2室1厅南,69㎡,盛嘉华苑,大兴
