house_name,directon,xiaoqu,house_price,meters,region,floor,area,zone
整租·天资华府1室1厅南,南        ,天资华府,2700,59㎡,长阳,中楼层（18层）,房山,1室1厅1卫
整租·劲松六区2室1厅南/北,南 北        ,劲松六区,5700,61㎡,潘家园,高楼层（6层）,朝阳,2室1厅1卫
整租·怡馨家园2室1厅南,南        ,怡馨家园,3200,52㎡,顺义城,高楼层（18层）,顺义,2室1厅1卫
整租·南苑北里一区2室1厅东/西,东 西        ,南苑北里一区,4000,76㎡,和义,高楼层（6层）,丰台,2室1厅1卫
整租·京西紫金新园1室0厅南,南        ,京西紫金新园,2600,38㎡,石门营,低楼层（16层）,门头沟,1室0厅1卫
整租·绿丰家园2室1厅南/北,南 北        ,绿丰家园,4200,83㎡,朝阳其它,高楼层（6层）,朝阳,2室1厅1卫
整租·南平里2室1厅南,南        ,南平里,3400,62㎡,首都机场,低楼层（6层）,朝阳,2室1厅1卫
整租·松榆东里1室1厅南,南        ,松榆东里,6000,47㎡,北工大,高楼层（6层）,朝阳,1室1厅1卫
整租·新兴家园2室1厅南/北,南 北        ,新兴家园,2600,90㎡,大兴其它,高楼层（9层）,大兴,2室1厅1卫
整租·名佳花园三区1室1厅南/北,南 北        ,名佳花园三区,3600,65㎡,北七家,高楼层（5层）,昌平,1室1厅1卫
整租·六营门小区2室1厅南,南        ,六营门小区,3600,54㎡,旧宫,低楼层（6层）,丰台,2室1厅1卫
整租·锋创科技园1房间东北,东北        ,锋创科技园,3200,49㎡,亦庄,低楼层（19层）,亦庄开发区,1房间1卫
整租·复兴路79号院1室1厅东北,东北        ,复兴路79号院,5200,39㎡,五棵松,高楼层（6层）,海淀,1室1厅1卫
整租·曙光西里1室1厅东,东        ,曙光西里,4500,37㎡,三元桥,低楼层（6层）,朝阳,1室1厅1卫
整租·北京新天地五期1室1厅北,北        ,北京新天地五期,4500,61㎡,常营,低楼层（28层）,朝阳,1室1厅1卫
整租·三合南里2室1厅东/西,东 西        ,三合南里,2500,74㎡,黄村中,高楼层（6层）,大兴,2室1厅1卫
整租·阳光星苑2室1厅南/北,南 北        ,阳光星苑,4500,64㎡,西红门,低楼层（16层）,丰台,2室1厅1卫
整租·荣丰20081室0厅北,北        ,荣丰2008,4200,38㎡,广安门,中楼层（26层）,西城,1室0厅1卫
整租·万柳园小区2室1厅东/西,东 西        ,万柳园小区,4300,54㎡,玉泉营,高楼层（6层）,丰台,2室1厅1卫
整租·久居雅园1室0厅北,北        ,久居雅园,3200,50㎡,临河里,高楼层（12层）,通州,1室0厅1卫
整租·北苑6号院2室1厅东,东        ,北苑6号院,5800,73㎡,北苑,高楼层（6层）,朝阳,2室1厅1卫
整租·甘露园南里1室1厅南,南        ,甘露园南里,4500,58㎡,甘露园,高楼层（6层）,朝阳,1室1厅1卫
整租·莲水怡园1室0厅南,南        ,莲水怡园,2800,61㎡,马驹桥,低楼层（12层）,亦庄开发区,1室0厅1卫
整租·武圣西里2室1厅南,南        ,武圣西里,6000,63㎡,劲松,高楼层（6层）,朝阳,2室1厅1卫
整租·富力又一城C区2室1厅东南,东南        ,富力又一城C区,5800,90㎡,豆各庄,低楼层（18层）,朝阳,2室1厅1卫
整租·古城路小区1室0厅南,南        ,古城路小区,2400,20㎡,古城,高楼层（4层）,石景山,1室0厅1卫
整租·温泉花园B区3室2厅南/北,南 北        ,温泉花园B区,3600,101㎡,北七家,高楼层（6层）,昌平,3室2厅1卫
整租·永安里小区2室1厅南/北,南 北        ,永安里小区,3200,64㎡,鼓楼大街,高楼层（6层）,昌平,2室1厅1卫
整租·朝阳新城三区2室1厅东,东        ,朝阳新城三区,5000,74㎡,东坝,高楼层（6层）,朝阳,2室1厅1卫
整租·北大地四里2室1厅东,东        ,北大地四里,4200,53㎡,北大地,高楼层（6层）,丰台,2室1厅1卫
整租·华威西里2室1厅南/北,南 北        ,华威西里,5700,58㎡,潘家园,高楼层（6层）,朝阳,2室1厅1卫
整租·大红门南里2室1厅南/北,南 北        ,大红门南里,4600,52㎡,赵公口,高楼层（6层）,丰台,2室1厅1卫
整租·北大地三里2室1厅东南,东南        ,北大地三里,4300,46㎡,北大地,低楼层（6层）,丰台,2室1厅1卫
整租·裕龙三区1室1厅南/北,南 北        ,裕龙三区,3300,69㎡,顺义城,中楼层（22层）,顺义,1室1厅1卫
整租·柳浪家园南里1室1厅南,南        ,柳浪家园南里,4900,46㎡,马连洼,中楼层（10层）,海淀,1室1厅1卫
整租·和平街十四区1室1厅南,南        ,和平街十四区,5500,50㎡,和平里,高楼层（18层）,朝阳,1室1厅1卫
整租·南顶村1室1厅南,南        ,南顶村,3800,47㎡,赵公口,高楼层（6层）,丰台,1室1厅1卫
整租·松榆东里1室1厅西南,西南        ,松榆东里,5300,49㎡,北工大,低楼层（12层）,朝阳,1室1厅1卫
整租·万源北路9号院2室1厅南,南        ,万源北路9号院,3500,65㎡,旧宫,高楼层（6层）,丰台,2室1厅1卫
整租·城市经典1室1厅南,南        ,城市经典,3500,28㎡,科技园区,低楼层（18层）,丰台,1室1厅1卫
整租·晓月新苑1室1厅西南,西南        ,晓月新苑,3300,47㎡,卢沟桥,高楼层（22层）,丰台,1室1厅1卫
整租·北花园小区1室0厅南,南        ,北花园小区,4100,51㎡,双桥,高楼层（22层）,朝阳,1室0厅1卫
整租·7克拉1房间西,西        ,7克拉,3500,23㎡,马家堡,低楼层（13层）,丰台,1房间1卫
整租·建材城东一里2室1厅南/北,南 北        ,建材城东一里,4800,54㎡,西三旗,高楼层（6层）,海淀,2室1厅1卫
整租·建材城东一里2室1厅南/北,南 北        ,建材城东一里,6000,65㎡,西三旗,中楼层（6层）,海淀,2室1厅1卫
整租·建材城东一里2室1厅南/北,南 北        ,建材城东一里,5500,67㎡,西三旗,低楼层（7层）,海淀,2室1厅1卫
整租·劲松四区2室1厅南/北,南 北        ,劲松四区,5800,59㎡,劲松,高楼层（6层）,朝阳,2室1厅1卫
整租·古韵新居1室1厅南,南        ,古韵新居,3500,47㎡,潞苑,中楼层（14层）,通州,1室1厅1卫
整租·大兴胡同1室0厅南,南        ,大兴胡同,4500,15㎡,交道口,低楼层（1层）,东城,1室0厅1卫
整租·磨房北里1室1厅南/北,南 北        ,磨房北里,5000,44㎡,北工大,中楼层（6层）,朝阳,1室1厅1卫
整租·平乐园小区1室1厅南,南        ,平乐园小区,5000,48㎡,北工大,高楼层（6层）,朝阳,1室1厅1卫
整租·新太仓胡同1室0厅南,南        ,新太仓胡同,3300,15㎡,东四,低楼层（1层）,东城,1室0厅0卫
整租·青塔秀园2室1厅南/北,南 北        ,青塔秀园,4200,60㎡,青塔,高楼层（6层）,丰台,2室1厅1卫
整租·胜古南里1室1厅南,南        ,胜古南里,5300,35㎡,惠新西街,中楼层（6层）,朝阳,1室1厅1卫
整租·四合巷小区1室1厅南,南        ,四合巷小区,2200,42㎡,良乡,中楼层（6层）,房山,1室1厅1卫
整租·农光东里2室1厅南/北,南 北        ,农光东里,6000,54㎡,劲松,高楼层（6层）,朝阳,2室1厅1卫
整租·古城特钢楼2室1厅东/西,东 西        ,古城特钢楼,3400,41㎡,古城,高楼层（5层）,石景山,2室1厅1卫
整租·双河北里1室1厅南,南        ,双河北里,3000,57㎡,黄村中,高楼层（10层）,大兴,1室1厅1卫
整租·安顺路35号院2室1厅南/北,南 北        ,安顺路35号院,3500,89㎡,北关,低楼层（6层）,通州,2室1厅1卫
整租·恩济里小区1室1厅南,南        ,恩济里小区,5600,48㎡,定慧寺,中楼层（15层）,海淀,1室1厅1卫
整租·花园闸小区2室1厅北,北        ,花园闸小区,5300,63㎡,定福庄,低楼层（18层）,朝阳,2室1厅1卫
整租·酒仙桥十街坊2室1厅南,南        ,酒仙桥十街坊,5500,62㎡,酒仙桥,高楼层（6层）,朝阳,2室1厅1卫
整租·CBD东舍2房间南,南        ,CBD东舍,6000,50㎡,高碑店,中楼层（12层）,朝阳,2房间1卫
整租·润生园2室1厅东南,东南        ,润生园,6000,77㎡,西三旗,高楼层（18层）,海淀,2室1厅1卫
整租·翠微东里1室1厅南,南        ,翠微东里,5500,46㎡,公主坟,中楼层（6层）,海淀,1室1厅1卫
整租·旭辉26街区1室1厅北,北        ,旭辉26街区,3300,27㎡,顺义其它,中楼层（9层）,顺义,1室1厅1卫
整租·古城路小区1室1厅南,南        ,古城路小区,3400,27㎡,古城,高楼层（4层）,石景山,1室1厅1卫
整租·新潮嘉园二期2室1厅南/北,南 北        ,新潮嘉园二期,3500,104㎡,潞苑,高楼层（7层）,通州,2室1厅2卫
整租·弘善家园2室1厅东/北,东 北        ,弘善家园,6000,75㎡,潘家园,低楼层（28层）,朝阳,2室1厅1卫
整租·车道沟南里3室1厅西南,西南        ,车道沟南里,3500,15㎡,紫竹桥,中楼层（17层）,海淀,3室1厅1卫
整租·和平里五区1室1厅东南,东南        ,和平里五区,5300,41㎡,和平里,中楼层（6层）,东城,1室1厅1卫
整租·广安﹒康馨家园3室1厅西南/北,西南 北        ,广安﹒康馨家园,4300,92㎡,青塔,低楼层（26层）,丰台,3室1厅1卫
整租·天恒乐活城1室1厅西/北,西 北        ,天恒乐活城,2500,61㎡,阎村,高楼层（18层）,房山,1室1厅1卫
整租·永定路85号院2室1厅南,南        ,永定路85号院,5000,50㎡,五棵松,低楼层（5层）,海淀,2室1厅1卫
整租·金宝城北区2室1厅南/北,南 北        ,金宝城北区,2800,91㎡,马坡,中楼层（15层）,顺义,2室1厅1卫
整租·小街之春1室1厅南,南        ,小街之春,3000,55㎡,临河里,低楼层（6层）,通州,1室1厅1卫
整租·国瑞熙墅3室1厅东/西,东 西        ,国瑞熙墅,4000,89㎡,北七家,中楼层（14层）,昌平,3室1厅1卫
整租·电车厂宿舍2室1厅南,南        ,电车厂宿舍,3000,52㎡,新街口,低楼层（6层）,海淀,2室1厅1卫
整租·社科院1室1厅南,南        ,社科院,5800,44㎡,太阳宫,高楼层（18层）,朝阳,1室1厅1卫
整租·西宏苑2室1厅南/北,南 北        ,西宏苑,3500,70㎡,西红门,高楼层（6层）,丰台,2室1厅1卫
整租·工体南路1室1厅北,北        ,工体南路,6000,41㎡,东大桥,高楼层（18层）,朝阳,1室1厅1卫
整租·古城西路2室1厅东/西,东 西        ,古城西路,4200,51㎡,古城,低楼层（6层）,石景山,2室1厅1卫
整租·7克拉2房间复式西,西        ,7克拉,4200,27㎡,马家堡,中楼层（11层）,丰台,2房间1卫
整租·中信新城两限区1室1厅南,南        ,中信新城两限区,4000,62㎡,亦庄开发区其它,高楼层（21层）,亦庄开发区,1室1厅1卫
整租·明天生活馆1房间西,西        ,明天生活馆,3800,40㎡,立水桥,低楼层（14层）,朝阳,1房间1卫
整租·玉带河西街8号院1室1厅南,南        ,玉带河西街8号院,2800,51㎡,万达,高楼层（6层）,通州,1室1厅1卫
整租·和悦居2室1厅南/北,南 北        ,和悦居,3300,82㎡,顺义其它,低楼层（14层）,顺义,2室1厅1卫
整租·天恒旭辉7号院4房间南,南        ,天恒旭辉7号院,3200,60㎡,天宫院南,中楼层（6层）,大兴,4房间2卫
整租·芳怡园1室1厅东,东        ,芳怡园,5000,50㎡,西北旺,高楼层（10层）,海淀,1室1厅1卫
整租·康家园2室1厅南/北,南 北        ,康家园,5500,69㎡,甘露园,中楼层（7层）,朝阳,2室1厅1卫
整租·百合园2室0厅西,西        ,百合园,4500,53㎡,右安门外,中楼层（18层）,丰台,2室0厅1卫
整租·中泽家园2室1厅南/北,南 北        ,中泽家园,3600,78㎡,九棵树(家乐福),中楼层（6层）,通州,2室1厅1卫
整租·前门东大街1室1厅西,西        ,前门东大街,6000,45㎡,崇文门,中楼层（16层）,东城,1室1厅1卫
整租·程庄路6号院2室1厅南/北,南 北        ,程庄路6号院,4500,58㎡,五里店,低楼层（6层）,丰台,2室1厅1卫
整租·合景领峰2房间东南,东南        ,合景领峰,2200,50㎡,长阳,高楼层（8层）,房山,2房间1卫
整租·车站西街17号院1室1厅南,南        ,车站西街17号院,5000,51㎡,广安门,低楼层（18层）,西城,1室1厅1卫
整租·朝北80801室0厅北,北        ,朝北8080,3200,37㎡,北关,中楼层（7层）,通州,1室0厅1卫
整租·亦庄北岸1室0厅西,西        ,亦庄北岸,3300,39㎡,旧宫,高楼层（12层）,大兴,1室0厅1卫
整租·龙泉苑小区2室1厅南/北,南 北        ,龙泉苑小区,3200,83㎡,顺义城,低楼层（9层）,顺义,2室1厅1卫
整租·永华北里2室1厅南/北,南 北        ,永华北里,3000,73㎡,黄村中,低楼层（6层）,大兴,2室1厅1卫
整租·弘善家园2室1厅东南,东南        ,弘善家园,6000,71㎡,潘家园,低楼层（28层）,朝阳,2室1厅1卫
整租·空港国际2室1厅南,南        ,空港国际,3300,57㎡,顺义其它,低楼层（10层）,顺义,2室1厅2卫
整租·和义东里四区2室1厅西/北,西 北        ,和义东里四区,3800,56㎡,和义,中楼层（5层）,丰台,2室1厅1卫
整租·华贸城2室1厅南,南        ,华贸城,5000,86㎡,北苑,高楼层（27层）,朝阳,2室1厅1卫
整租·东海仪园1室1厅南,南        ,东海仪园,4200,61㎡,青塔,低楼层（18层）,丰台,1室1厅1卫
整租·远中悦麒1室1厅西,西        ,远中悦麒,4000,47㎡,木樨园,低楼层（24层）,丰台,1室1厅1卫
整租·苹果派1室1厅北,北        ,苹果派,5500,53㎡,常营,中楼层（11层）,朝阳,1室1厅1卫
整租·和平街西苑1室1厅南,南        ,和平街西苑,6000,44㎡,和平里,高楼层（20层）,朝阳,1室1厅1卫
整租·泰福苑D2区1室1厅南,南        ,泰福苑D2区,5000,60㎡,定福庄,中楼层（27层）,朝阳,1室1厅1卫
整租·太平里2室1厅南/北,南 北        ,太平里,5300,61㎡,马连道,高楼层（7层）,西城,2室1厅1卫
整租·慧忠北里第二社区1室1厅西,西        ,慧忠北里第二社区,5500,45㎡,亚运村,低楼层（9层）,朝阳,1室1厅1卫
整租·中国铁建顺鑫汇2房间西,西        ,中国铁建顺鑫汇,2800,48㎡,顺义其它,低楼层（9层）,顺义,2房间1卫
整租·中海城紫鑫阁2房间北,北        ,中海城紫鑫阁,5200,46㎡,成寿寺,中楼层（20层）,朝阳,2房间1卫
整租·北洼西里1室1厅东南,东南        ,北洼西里,5800,54㎡,紫竹桥,低楼层（16层）,海淀,1室1厅1卫
整租·虎坊路小区2室1厅南/北,南 北        ,虎坊路小区,5600,46㎡,陶然亭,高楼层（4层）,西城,2室1厅1卫
整租·春晖园1室1厅南,南        ,春晖园,5700,56㎡,西北旺,高楼层（6层）,海淀,1室1厅1卫
整租·佳和宜园1室0厅南,南        ,佳和宜园,2600,48㎡,马坡,中楼层（11层）,顺义,1室0厅1卫
整租·芳怡园1室0厅东/西,东 西        ,芳怡园,5000,40㎡,西北旺,中楼层（10层）,海淀,1室0厅1卫
整租·银地家园1室0厅南,南        ,银地家园,3500,38㎡,花乡,中楼层（13层）,丰台,1室0厅1卫
整租·城华园1室0厅北,北        ,城华园,6000,47㎡,学院路,高楼层（27层）,海淀,1室0厅1卫
整租·慧忠里2室1厅南/北,南 北        ,慧忠里,5500,59㎡,亚运村,低楼层（6层）,朝阳,2室1厅1卫
整租·泰中花园1室1厅北,北        ,泰中花园,2000,13㎡,大兴开发区,高楼层（7层）,大兴,1室1厅1卫
整租·红星楼2室1厅西/北,西 北        ,红星楼,3500,50㎡,和义,低楼层（6层）,丰台,2室1厅1卫
整租·中山大街108号院1室1厅北,北        ,中山大街108号院,3400,37㎡,万达,中楼层（6层）,通州,1室1厅2卫
整租·建新北区2室1厅南/北,南 北        ,建新北区,3300,57㎡,顺义城,中楼层（5层）,顺义,2室1厅1卫
整租·八里庄北里小区2室1厅南/北,南 北        ,八里庄北里小区,6000,61㎡,石佛营,高楼层（6层）,朝阳,2室1厅1卫
整租·西环里3室1厅南/北,南 北        ,西环里,2800,65㎡,西关环岛,高楼层（6层）,昌平,3室1厅1卫
整租·天宁寺前街北里2室1厅南/北,南 北        ,天宁寺前街北里,5300,50㎡,天宁寺,高楼层（6层）,西城,2室1厅1卫
整租·六营门小区2室1厅南/北,南 北        ,六营门小区,3900,59㎡,旧宫,中楼层（6层）,丰台,2室1厅1卫
整租·光熙门北里1室1厅南,南        ,光熙门北里,5600,44㎡,西坝河,中楼层（14层）,朝阳,1室1厅1卫
整租·延静里中街2室1厅西南,西南        ,延静里中街,5800,55㎡,红庙,中楼层（6层）,朝阳,2室1厅1卫
整租·众美城2室1厅南,南        ,众美城,2700,82㎡,天宫院南,低楼层（10层）,大兴,2室1厅1卫
整租·芍药居北里2室1厅东/南/北,东 南 北        ,芍药居北里,5500,50㎡,芍药居,地下室（7层）,朝阳,2室1厅1卫
整租·单店西村1室1厅南,南        ,单店西村,4200,43㎡,东坝,高楼层（6层）,朝阳,1室1厅1卫
整租·高井2室1厅南/北,南 北        ,高井,3300,59㎡,石景山其它,低楼层（6层）,石景山,2室1厅1卫
整租·京棉新城三厂1室1厅南,南        ,京棉新城三厂,5600,71㎡,四惠,中楼层（26层）,朝阳,1室1厅1卫
整租·车站西街17号院1室1厅南,南        ,车站西街17号院,4800,47㎡,广安门,中楼层（6层）,西城,1室1厅1卫
整租·五建小区1室1厅南,南        ,五建小区,2500,15㎡,定福庄,高楼层（6层）,朝阳,1室1厅1卫
整租·朝丰家园2室1厅南,南        ,朝丰家园,4200,79㎡,豆各庄,低楼层（18层）,朝阳,2室1厅1卫
整租·永定门东街西里2室1厅南/北,南 北        ,永定门东街西里,5500,50㎡,天坛,中楼层（6层）,东城,2室1厅1卫
整租·世华龙樾1室1厅南,南        ,世华龙樾,5800,53㎡,清河,高楼层（17层）,海淀,1室1厅1卫
整租·惠新里小区1室1厅南/北,南 北        ,惠新里小区,5900,45㎡,惠新西街,中楼层（18层）,朝阳,1室1厅1卫
整租·南平里2室1厅南/北,南 北        ,南平里,3600,56㎡,首都机场,高楼层（5层）,朝阳,2室1厅1卫
整租·东平里2室2厅东南,东南        ,东平里,3400,58㎡,首都机场,中楼层（11层）,朝阳,2室2厅1卫
整租·旭辉奥都2房间西,西        ,旭辉奥都,5000,48㎡,北苑,高楼层（26层）,朝阳,2房间1卫
整租·新裕家园1室0厅北,北        ,新裕家园,6000,34㎡,崇文门,中楼层（13层）,东城,1室0厅1卫
整租·金隅瑞和园2室1厅南/北,南 北        ,金隅瑞和园,5800,88㎡,玉泉路,高楼层（16层）,海淀,2室1厅1卫
整租·芳怡园1室1厅南,南        ,芳怡园,5000,58㎡,西北旺,高楼层（10层）,海淀,1室1厅1卫
整租·芳怡园1室1厅西,西        ,芳怡园,5500,50㎡,西北旺,高楼层（10层）,海淀,1室1厅1卫
整租·华馨公寓1室0厅西,西        ,华馨公寓,5500,40㎡,亚运村,中楼层（6层）,朝阳,1室0厅0卫
整租·梅源里小区2室1厅南/北,南 北        ,梅源里小区,3300,62㎡,旧宫,高楼层（7层）,丰台,2室1厅1卫
整租·月亮城堡1室0厅南,南        ,月亮城堡,3300,59㎡,武夷花园,中楼层（11层）,通州,1室0厅1卫
整租·长城国际1室0厅西,西        ,长城国际,3500,58㎡,通州北苑,高楼层（22层）,通州,1室0厅1卫
整租·苗圃东里2室1厅西/北,西 北        ,苗圃东里,4400,71㎡,赵公口,中楼层（22层）,丰台,2室1厅1卫
整租·德胜里一区2室1厅南,南        ,德胜里一区,7500,65㎡,德胜门,中楼层（5层）,西城,2室1厅1卫
整租·周庄嘉园南里1室1厅南,南        ,周庄嘉园南里,4300,48㎡,十里河,中楼层（6层）,朝阳,1室1厅1卫
整租·朝丰家园2室1厅南/北,南 北        ,朝丰家园,4500,78㎡,豆各庄,高楼层（16层）,朝阳,2室1厅1卫
整租·南海家园五里1室1厅东/东南,东 东南        ,南海家园五里,3000,49㎡,大兴其它,中楼层（18层）,大兴,1室1厅1卫
整租·郝庄家园2室1厅南/北,南 北        ,郝庄家园,3000,78㎡,西关环岛,低楼层（6层）,昌平,2室1厅1卫
整租·定福庄南里1号院2室2厅南,南        ,定福庄南里1号院,5000,63㎡,定福庄,低楼层（6层）,朝阳,2室2厅1卫
整租·芳怡园1室0厅东,东        ,芳怡园,4200,40㎡,西北旺,低楼层（10层）,海淀,1室0厅1卫
整租·北环里小区2室2厅南/北,南 北        ,北环里小区,3100,59㎡,鼓楼大街,中楼层（5层）,昌平,2室2厅1卫
整租·东幸福街1室1厅南/北,南 北        ,东幸福街,3700,47㎡,北大地,高楼层（6层）,丰台,1室1厅1卫
整租·松榆西里2室1厅南/北,南 北        ,松榆西里,5500,55㎡,潘家园,低楼层（6层）,朝阳,2室1厅1卫
整租·石门营新区四区1室1厅南,南        ,石门营新区四区,2400,47㎡,石门营,高楼层（14层）,门头沟,1室1厅1卫
整租·小南庄社区1室0厅北,北        ,小南庄社区,2800,10㎡,苏州桥,高楼层（16层）,海淀,1室0厅0卫
整租·蓝桥驿苑2室1厅南/北,南 北        ,蓝桥驿苑,2800,80㎡,大兴其它,低楼层（15层）,大兴,2室1厅1卫
整租·北京新天地五期1室1厅东,东        ,北京新天地五期,5500,62㎡,常营,低楼层（27层）,朝阳,1室1厅1卫
整租·八角南路2室0厅东/西,东 西        ,八角南路,2600,38㎡,八角,低楼层（5层）,石景山,2室0厅0卫
整租·朗琴园1室0厅东南,东南        ,朗琴园,5500,48㎡,广安门,高楼层（29层）,西城,1室0厅1卫
整租·建新南区1室1厅南/北,南 北        ,建新南区,3200,56㎡,顺义城,低楼层（6层）,顺义,1室1厅1卫
整租·农光里2室1厅南/北,南 北        ,农光里,6100,65㎡,劲松,中楼层（5层）,朝阳,2室1厅1卫
整租·北街家园八区1室0厅西,西        ,北街家园八区,2600,36㎡,沙河,高楼层（18层）,昌平,1室0厅1卫
整租·珺悦国际2房间北,北        ,珺悦国际,3400,65㎡,天宫院,低楼层（24层）,大兴,2房间1卫
整租·加州水郡金桥国际酒店1室0厅南,南        ,加州水郡金桥国际酒店,2300,36㎡,长阳,低楼层（16层）,房山,1室0厅1卫
整租·新居里2室1厅南/北,南 北        ,新居里,2900,80㎡,黄村中,高楼层（6层）,大兴,2室1厅1卫
整租·上潞园2室1厅南/北,南 北        ,上潞园,2900,74㎡,潞苑,高楼层（6层）,通州,2室1厅1卫
整租·南沙滩小区1室1厅南,南        ,南沙滩小区,5800,56㎡,南沙滩,低楼层（6层）,朝阳,1室1厅1卫
整租·胜古北里3室1厅南/北,南 北        ,胜古北里,6000,57㎡,惠新西街,高楼层（6层）,朝阳,3室1厅1卫
整租·玉林东里一区1室1厅西,西        ,玉林东里一区,4700,44㎡,右安门外,中楼层（6层）,丰台,1室1厅1卫
整租·翠微路2号院2室1厅南,南        ,翠微路2号院,6000,54㎡,公主坟,低楼层（5层）,海淀,2室1厅1卫
整租·水岸温泉1室1厅南,南        ,水岸温泉,4000,65㎡,海淀北部新区,中楼层（15层）,海淀,1室1厅1卫
整租·安德里北街25号院1室1厅西,西        ,安德里北街25号院,5200,42㎡,安定门,中楼层（17层）,东城,1室1厅1卫
整租·林萃路10号院1室1厅南,南        ,林萃路10号院,5900,43㎡,奥林匹克公园,中楼层（7层）,朝阳,1室1厅1卫
整租·晓月新苑1室1厅南,南        ,晓月新苑,3600,63㎡,卢沟桥,高楼层（21层）,丰台,1室1厅1卫
整租·慈云寺1室1厅南,南        ,慈云寺,4800,41㎡,红庙,低楼层（6层）,朝阳,1室1厅1卫
整租·中海御鑫阁1室0厅南,南        ,中海御鑫阁,4600,37㎡,科技园区,低楼层（21层）,丰台,1室0厅1卫
整租·磨房北里2室1厅南/北,南 北        ,磨房北里,5000,52㎡,北工大,低楼层（6层）,朝阳,2室1厅1卫
整租·林校北里2室1厅东,东        ,林校北里,2600,55㎡,黄村火车站,高楼层（6层）,大兴,2室1厅1卫
整租·和平街西苑1室1厅南,南        ,和平街西苑,5000,44㎡,和平里,中楼层（20层）,朝阳,1室1厅1卫
整租·金蝉南里1室0厅南,南        ,金蝉南里,4300,49㎡,欢乐谷,高楼层（14层）,朝阳,1室0厅1卫
整租·慧华苑1室1厅南,南        ,慧华苑,3800,28㎡,回龙观,低楼层（1层）,昌平,1室1厅1卫
整租·大方居2室1厅东,东        ,大方居,3500,90㎡,九棵树(家乐福),低楼层（22层）,通州,2室1厅1卫
整租·兰德华庭1室0厅北,北        ,兰德华庭,5000,32㎡,田村,高楼层（13层）,海淀,1室0厅1卫
整租·三义庙北1室0厅西,西        ,三义庙北,2700,10㎡,苏州桥,低楼层（6层）,海淀,1室0厅1卫
整租·安贞西里1室1厅南/北,南 北        ,安贞西里,6000,42㎡,安贞,高楼层（6层）,朝阳,1室1厅1卫
整租·和义东里六区3室1厅南/北,南 北        ,和义东里六区,4400,84㎡,和义,高楼层（6层）,丰台,3室1厅1卫
整租·iMOMA1房间东,东        ,iMOMA,4500,45㎡,上地,中楼层（8层）,海淀,1房间1卫
整租·柳浪家园北里1室0厅西,西        ,柳浪家园北里,5000,47㎡,马连洼,低楼层（8层）,海淀,1室0厅1卫
整租·前泥洼小区1室1厅南,南        ,前泥洼小区,4400,45㎡,丽泽,低楼层（6层）,丰台,1室1厅1卫
整租·金隅景和园3室1厅南/北,南 北        ,金隅景和园,5700,89㎡,东坝,高楼层（21层）,朝阳,3室1厅1卫
整租·泰河园一里一区1室1厅南,南        ,泰河园一里一区,3200,60㎡,亦庄开发区其它,低楼层（11层）,亦庄开发区,1室1厅1卫
整租·西山国际城2房间跃层南,南        ,西山国际城,4000,31㎡,田村,中楼层（6层）,海淀,2房间1卫
整租·大成国际1室0厅西,西        ,大成国际,5500,36㎡,百子湾,中楼层（21层）,朝阳,1室0厅1卫
整租·润枫领尚1室1厅东/北,东 北        ,润枫领尚,3500,56㎡,通州其它,低楼层（18层）,通州,1室1厅1卫
